"","Australia","Austria","Brazil","Canada","China","China, Hong Kong SAR","Czech Rep.","Denmark","Finland","France","Germany","Greece","Indonesia","Ireland","Italy","Japan","Malaysia","Mexico","Netherlands","New Zealand","Norway","Rep. of Korea","Singapore","Spain","Sweden","Switzerland","Thailand","Turkey","United Kingdom","USA"
"Australia",NA,0.102930608579537,0.0847322162488746,0.0348790809491176,0.0795506101101939,-0.0164198441189745,0.183373911698414,0.0850587425076395,0.0318346438184617,0.0179812696353762,-0.0226187308669377,0.0363468749219859,-0.0197967615582418,0.0352480667500321,0.0284420933418709,-0.014756335448534,-0.0116995744165545,0.179097042156023,-0.0386800290422021,0.0330190740104098,0.0294141325614148,0.0194425094485277,-0.0758692236679649,0.113772666792253,0.096843720776159,0.0105142004659628,-0.0137620067493712,0.135197330683835,0.0814321965420861,0.0845323570984785
"Austria",0.0838358209243414,NA,0.0603127800935061,0.0571831599594507,0.0897030022688828,0.0579321657816217,0.048707761764896,0.0312139614395017,0.0296295304361552,0.0347873735047597,0.00638113843396272,0.0363841522885739,-0.0708529278610751,0.0392623371605487,0.053970464517526,-0.0103117784512025,0.00450472807094129,0.131980183901443,-0.00238479309514566,0.0525348204052705,-0.00417278016593222,0.0071962575338168,0.0188562893179959,0.0850003447747507,0.0330962988172994,0.00129498971071951,0.0206105302063374,0.116161774689586,0.0623070553241524,0.0495322900467435
"Brazil",-0.057600104552098,0.0263063704078535,NA,0.0697439220201783,0.144519600588783,0.0135169713431293,0.0648373558679045,-0.0371001427194847,-0.0796441464072159,0.0391213937466897,-0.017155286771591,-0.0108449821492949,-0.0242216698206131,0.0633412934631387,0.0484567692482135,-0.047026841530941,-0.0554102579504728,0.125947647994484,0.0148384450428646,-0.0656793038888018,0.00958899306281207,-0.0428037968720596,-0.122657448689354,0.163180266875351,-0.0228300983316926,0.0220626697869069,0.0151877206380084,0.126155865189823,0.0264214873887811,0.045583588896258
"Canada",0.0028689269299896,0.053369859542343,-0.0268936079045103,NA,0.0975906447259565,0.0039456544309512,0.0412381099740041,0.0259296810395847,-0.00739388481591718,-0.00150325354733335,-0.0172830476443833,-0.00516019358392078,-0.0343807893634251,0.0408101382010553,-0.0153631429203296,-0.0432956683742592,-0.040024640269009,0.133927261369523,0.0258317757496411,0.00296742533854021,0.0411238787873748,-0.0156487789952813,-0.0351246733577825,0.0719291789537864,-0.0432092451343229,0.0191349107441594,0.00139933256453252,0.0828340713948164,0.0573672429047073,0.0447470183296477
"China",0.132536713262657,0.118547618604068,0.141158119430572,0.161668332405929,NA,0.0249183757908535,0.248491133566651,0.139456099991742,0.156607057602685,0.130918945691962,0.10021168870075,0.159793593211731,0.178612424137677,0.207164006612784,0.131419195132089,0.066571991086644,0.143107279891757,0.307381222059279,0.140438665086432,0.135741574252538,0.128870545136713,0.124397779459267,0.0789464073551378,0.168432426600582,0.174294190888435,0.0910451915281974,0.141129561069435,0.209001215607826,0.20379934680632,0.139090452448545
"China, Hong Kong SAR",0.00276395180762902,-0.0327826798559022,-0.108048643994321,-0.00519013542268785,0.0324606738093253,NA,0.0551875088634525,0.0145595571061361,0.0655502768167934,0.0187605378724384,-0.0149733631390054,-0.0535660381540008,0.00600517425944552,0.0858290298452656,0.022158268788503,-0.0148402301889766,-0.0201146108217795,0.0958105522254315,-0.0302596819379151,-0.0246175175031199,-0.0105292532002698,-0.0175302347954306,-0.0282400146980189,0.00859122056461846,-0.008904691323293,0.0522416085996748,0.0189716393127941,-0.059581856410573,0.019279990796062,-0.000364095475015864
"Czech Rep.",0.0517045434565876,0.0763312101463907,0.159942071854533,0.0966403297709728,0.132953755465425,0.0587364174987839,NA,0.12965569322727,0.0296195737390212,0.115881216038362,0.0623934350422289,0.097609004726852,0.0394390397241037,0.141411312624768,0.0929987639437407,0.037318243020812,0.111283127641674,0.190149430947642,0.0978671388378864,0.0715143553694442,0.0788872853219498,0.0866778520679364,0.000799044554186034,0.168585628441453,0.106920970852879,0.0819383347551812,-0.0555716274927596,0.213701748548321,0.133574735889961,0.119856502041038
"Denmark",0.0640411098943437,-0.0339582724711144,0.00808887739882952,0.0742845963062487,0.135578989938108,-0.00498998455976018,0.102050329991369,NA,0.0457506279257515,0.0248461767872593,-0.0236809755021789,0.0165777006393352,-0.0718436263877096,0.132882348649086,0.0312620440066634,-0.0190188890034473,0.0323971357626296,0.156907017196666,0.0220586196914735,0.04249257185603,0.0387359723773699,0.0296686749573729,-0.00658798878926993,0.0890351802443075,0.0501151605241904,-0.0469992719032746,0.057084431826924,0.0724256701524172,0.053644340109893,0.0544052459245857
"Finland",0.00131651687170371,-0.0035696515917842,-0.000735733019033248,0.0634475916241512,0.110583342657724,-0.030179655264261,0.0505505473979188,-0.000341745977718952,NA,0.0152987006708312,-0.00421193203976996,-0.000134087979926581,-0.0598432680457683,-0.0362549811527993,0.0413726982395012,0.0143585175194405,0.057321962177852,0.171713322395038,0.026780647548515,0.0233017977625016,-0.00799398136547575,0.0679604895892989,-0.0183233166763296,0.0495760778836532,0.026703350603275,-0.036781033663244,0.107331692077568,0.0986700081664763,-0.0107992844713557,0.0331654416949393
"France",0.0121391472982884,0.00336656692104729,0.0379363133239176,0.0347984891572403,0.132561876505841,-0.0227164406520233,0.125059335749669,0.00246153084190323,0.0188670185626785,NA,-0.0123685550228796,0.0275755222360998,-0.0749526985607324,0.0196972766469928,0.020447894048096,-0.015299373984079,-0.00862075188869012,0.0873630623547031,0.0166838943490481,0.0384355544869853,-0.0062724121096835,0.00605337096845793,-0.0192391787262451,0.0488006193297087,0.0104099115847395,0.00524570071908225,0.0205566364670756,0.0732547477502118,0.0175811241463898,0.0279591184828868
"Germany",0.025203363646318,0.0261677813976142,0.0265606489921713,0.048506872251977,0.164545236608335,-0.0224068013855556,0.0804068822190198,0.0215785272058761,0.045403266444836,0.0298800901998721,NA,0.0184820705552511,-0.0496220138070214,0.0657620649198334,0.0277308332815028,0.0145978809987426,0.00493540060509564,0.0966928002662327,0.0124409481181457,0.0185499879476756,0.0327329441938655,0.0257021004310751,-0.00729978255988659,0.0642445684425957,0.0267571063989678,0.0102033599106594,-0.0140828634772046,0.0658509020166208,0.0311697606973894,0.0434415410223384
"Greece",0.0654609492445837,-0.0667321981437274,-0.0520675279798171,0.0517698161108296,0.197958726724485,0.0675121711328643,0.080942584789337,-0.0588740934781696,-0.0178043865826403,-0.0182351025951974,-0.0633079267861691,NA,-0.144961785411367,0.0407289150965223,0.0345918141303901,-0.0264003403783427,0.00800558619702384,0.227602572768263,0.00818115628749661,0.0748230277286886,0.0385484913313513,-0.0189081888134108,-0.0805686143883529,0.0789642251759032,0.00773570344093706,-0.0620234125039917,0.0750944354056739,0.140652071367422,-0.0112824888067305,0.0227103792657859
"Indonesia",0.0354871248264001,0.0334642448207552,0.0216360284086749,0.0273940107957182,0.142813825726575,-0.0612441831124754,0.0427931510815743,-0.0225791798043515,0.0647036404338972,-0.00953958792995187,-0.00254642905801644,0.0221332011651655,NA,0.026775922005042,0.00578410103334667,-0.0271322355606263,0.0771514446139449,0.114548087704321,-0.00517440114167354,0.0433371475617108,0.0629640404098107,0.000351753276104955,0.0304536585372496,0.0474026838261819,0.0503786705157145,0.00386912325008564,0.106881462108804,0.202187821370004,-0.0297602045106674,0.0234013661557626
"Ireland",0.0491871729549889,-0.00663628087599235,0.0174463521698488,0.0459755695076609,0.2157468927789,0.0575882347709786,0.0599256174730179,-0.00500725857770038,-0.0193478406783473,-0.0346966970396439,-0.00927090344532659,-0.0284236324564278,0.168934323502082,NA,-0.000600934508753789,0.0341312986893078,0.0517659954829587,0.171159850563848,0.0404374913897254,0.0404893266179205,-0.0185305118773166,-0.017075485076044,0.126152862752794,0.029328630537243,0.0538762141826103,-0.0813209399098563,0.0741596445798927,0.13577067813885,0.00470544543022471,0.149596183115692
"Italy",0.0128067110900531,-0.0150188649749068,-0.0597093640974313,0.0174744698258419,0.124151982038056,-0.0190781981905572,0.0725708717223178,0.0164945217598909,-0.00669517663044786,0.0109132570770614,-0.0368552925673812,0.00335940374980532,0.00263611000676541,0.0719590229808636,NA,-0.0490159304309269,0.0172535262926456,0.162239442007905,-0.00300494725413056,0.0266405862996841,0.0148328886128652,-0.0166151745539554,-0.0590596131032574,0.0586803639129589,0.0126326683374522,0.0173577848115214,0.0295873042558611,0.0757501987282637,0.0218009675941098,0.0264916419483727
"Japan",-0.0131167927173532,0.0356854722731161,-0.0215824955183237,0.0131067360326234,0.0830378273641986,-0.019592958725172,0.162364654675273,-0.0207516299107885,0.0356819010709395,0.00564593253473349,-0.0167936383732057,0.0386620886795356,-0.0309620592220718,0.00128802629107787,-0.0127838100946083,NA,-0.0372973536299525,0.11337234663378,-0.00447107748071827,-0.00943665174195294,0.0348842146535704,0.0376872142849604,-0.0565830455832845,0.0212274105263892,0.00736715991204728,-0.00829091840840159,0.0190831072649268,0.0652205833980796,-0.00743729976456661,-0.0159541867867482
"Malaysia",0.0704544140672604,0.0195190699038513,0.0388851383241524,0.0387338418017736,0.128073375505632,-0.0806153020568999,0.204533261794176,-0.0071518481823636,0.089384600733109,-0.02540248086081,-0.0254409774686783,0.0168827399313251,0.134595569438158,0.093479815242803,-0.00679830118407506,0.00270541779455861,NA,0.130139204269743,0.0069929347423027,0.0451163301457563,0.0225798313214153,0.0843695463958693,-0.0236868092245455,0.0496825890280613,0.0061799683453222,-0.0104950502851716,0.090055817146501,0.319230461310261,0.0260547558553711,0.0124299235761287
"Mexico",0.126415372784065,0.148318567509877,-0.092464221681507,0.112843510068171,0.35461857643072,-0.203551519219001,0.236370292556857,-0.0585373374845064,0.175739067220674,0.0742611983024195,0.0844761682703044,-0.137497118052083,-0.0266704399828202,0.0451712550395084,-0.0560924464636921,0.0547321922491929,-0.0236098078940107,NA,0.0616915015585527,0.118049215594719,0.0848725481888659,0.0661123936421744,-0.129491794632183,0.000477774058543413,0.0282219370563382,-0.158683099194107,0.04170277851169,0.048087626941342,0.0882257160289946,0.0761062057747655
"Netherlands",0.0724909665950762,0.012033979038691,0.0166651304675361,0.0546958103466673,0.170264688198909,-0.0563393234621531,0.102095294099281,0.018569170623234,0.0427777021267465,0.0159219123658808,0.00858156055530844,0.0470992434794571,-0.0247371062495804,0.0880217941812074,0.0454611779956416,0.0126131156215424,0.0281317245511098,0.126481448521191,NA,0.0143705206165984,0.0174828254670988,0.157783281890959,0.054645220812404,0.0628545631680165,0.0209169241626458,0.00976097468721311,0.0190747414578816,0.113711650459563,0.037207399869239,0.0377695709511425
"New Zealand",0.0146552365728013,0.125437780976235,-0.0547944804685122,0.0678373315941725,0.079535740491261,-0.00941522231305933,-0.030976952541081,0.0729963568255445,0.0905552056456671,0.105143035075051,0.0933823111520977,0.100066814264128,-0.0486881877429133,0.081926173220489,0.0145893365248835,-0.0094027193057471,-0.0511867967548963,0.154824710476243,0.159584784779729,NA,0.0765190414270226,-0.0843911881478796,-0.000468295120298781,0.159445832061079,0.0820133105212216,0.0939260340270674,-0.0804636209640635,-0.0164983170920377,0.0963409560918772,0.0776173273136076
"Norway",0.024657171535655,0.0304751607931105,0.121033013664644,0.0282292421874092,0.190970060802342,0.0401064467803193,-0.00233353689640318,0.00762136707309894,0.0174644929534707,0.0132741676569781,0.00608714085856096,0.0596028046387886,-0.00367087004041505,0.0202718012366665,-0.00627537858463557,-0.00999441431561659,0.00674942820873268,0.0836045257215993,0.0605714345462824,-0.0196622125576869,NA,0.0805918378644075,-0.0345476119202777,0.0589892341791524,0.0287087921744776,-0.000394570161797695,-0.0181092912891768,0.0596917371025503,-0.0171427542212885,0.0386061273058219
"Rep. of Korea",0.00892011421865415,0.079462582927929,-0.0482680015335953,-0.0444731257786643,0.179297850124162,-0.0414441620376795,0.0436073030073836,0.00417600169902761,0.115528308169277,-0.0035081659926269,0.0167923409219678,0.0183187274382702,0.00818463545487742,0.0533340303665296,0.0244436857836521,-0.0123960104253305,0.000604240027326001,0.122821321810165,0.0213241234821629,0.0179949878770944,0.0140713351861169,NA,-0.0369685443425355,0.0516812131583712,0.0115402641228513,-0.0293068264380012,0.0104458504479837,0.096498807450513,-0.0365405525605985,0.000243433633021389
"Singapore",0.0396817944986848,-0.0075195512539125,-0.0604120803901386,-0.0157906406229647,0.0985612552323302,-0.0244295383584292,0.110662599984834,-0.00494484103265334,0.0188144717056237,-2.66360903481307e-05,-0.0685571061583861,-0.0650760132080913,0.242457622426652,0.0571689414836089,0.00900417325654084,0.0158986194298153,-0.0530314940062495,0.122387843807923,0.0127434936385142,0.0411164597157092,-0.00454475371819363,0.0284252951636907,NA,0.0331853613655313,-0.0215464672901778,0.0421558555172423,0.0153633889259725,0.0916680399523098,-0.0545069540834381,-0.000962911994605
"Spain",0.0375918659513326,0.0628810554370368,0.0375451712561789,0.0334725674780274,0.104117078442467,-0.0399432396827563,0.169557425255231,0.0231659460474415,0.0410800193434418,0.0569014280957341,0.0114056776100886,0.0668365768168867,0.0194718663881968,0.100185364930706,0.0508125974138704,-0.0217259763482353,0.00151482048480957,0.123374082556088,0.0108352071245472,0.0427382989286715,0.0279546427974199,-0.0616222294251239,-0.0443242653510739,NA,0.0785845463888171,0.0336723171423197,-0.0036230162710605,0.166018575710711,0.0452087764102855,0.0008276884054617
"Sweden",0.0334166217378038,0.00235845407695186,0.0135656567689338,0.0294631294638051,0.196479038312802,-0.00372397386376592,0.0671932988450225,0.0405840890077563,0.0578168779085383,0.00713794726956339,-0.00185836980461782,0.0854131235488603,-0.0109672930892544,0.00696012868204254,0.0671123274684398,0.00690712639027662,0.0173079756783322,0.0971758034291499,0.00891227232336467,0.0200955994961238,0.0372509676135599,0.0578523634212776,-0.00430000006994185,0.0521866024689826,NA,-0.0269342097831656,-0.0593847511244531,0.139061029571485,0.00833296286468526,0.0377582003165311
"Switzerland",0.022428773280956,-0.0180476790309307,-0.0374315818177193,0.0613364136340677,0.215103678741735,0.0551466576377491,0.0873247802424885,-0.0273819848871484,-0.00489648927109963,0.0275709659251787,0.00214684582824897,0.0181298993886307,-0.0479672033113573,0.0197138452652824,0.0103842095827122,-0.0173612957494076,-0.0280773375119568,0.107760999592132,0.0503374048426946,0.0219464947756694,0.00034060776567405,0.0535668226487547,-0.0343626455454768,0.0506855269881773,-0.0169688978551227,NA,0.000881126387410217,0.0849199266861641,-0.023660812152326,0.044320280128246
